user_id,funnel_step,timestamp,step_order
user_0001,Landing Page Visit,2024-01-05 08:00:00,1
user_0001,Sign Up Form,2024-01-05 09:00:00,2
user_0001,Email Verification,2024-01-05 11:00:00,3
user_0001,Profile Setup,2024-01-05 14:00:00,4
user_0001,Tutorial Start,2024-01-05 19:00:00,5
user_0001,First Feature Use,2024-01-06 02:00:00,6
user_0001,Onboarding Complete,2024-01-06 09:00:00,7
user_0002,Landing Page Visit,2024-01-12 08:00:00,1
user_0002,Sign Up Form,2024-01-12 09:00:00,2
user_0002,Email Verification,2024-01-12 11:00:00,3
user_0002,Profile Setup,2024-01-12 14:00:00,4
user_0002,Tutorial Start,2024-01-12 19:00:00,5
user_0003,Landing Page Visit,2024-01-18 08:00:00,1
user_0003,Sign Up Form,2024-01-18 09:00:00,2
user_0003,Email Verification,2024-01-18 11:00:00,3
user_0003,Profile Setup,2024-01-18 14:00:00,4
user_0004,Landing Page Visit,2024-01-25 08:00:00,1
user_0004,Sign Up Form,2024-01-25 09:00:00,2
user_0004,Email Verification,2024-01-25 11:00:00,3
user_0005,Landing Page Visit,2024-01-08 08:00:00,1
user_0005,Sign Up Form,2024-01-08 09:00:00,2
user_0005,Email Verification,2024-01-08 11:00:00,3
user_0005,Profile Setup,2024-01-08 14:00:00,4
user_0005,Tutorial Start,2024-01-08 19:00:00,5
user_0005,First Feature Use,2024-01-09 02:00:00,6
user_0006,Landing Page Visit,2024-01-15 08:00:00,1
user_0006,Sign Up Form,2024-01-15 09:00:00,2
user_0006,Email Verification,2024-01-15 11:00:00,3
user_0006,Profile Setup,2024-01-15 14:00:00,4
user_0007,Landing Page Visit,2024-01-22 08:00:00,1
user_0007,Sign Up Form,2024-01-22 09:00:00,2
user_0008,Landing Page Visit,2024-01-29 08:00:00,1
user_0008,Sign Up Form,2024-01-29 09:00:00,2
user_0008,Email Verification,2024-01-29 11:00:00,3
user_0008,Profile Setup,2024-01-29 14:00:00,4
user_0008,Tutorial Start,2024-01-29 19:00:00,5
user_0008,First Feature Use,2024-01-30 02:00:00,6
user_0008,Onboarding Complete,2024-01-30 09:00:00,7
user_0009,Landing Page Visit,2024-01-11 08:00:00,1
user_0009,Sign Up Form,2024-01-11 09:00:00,2
user_0009,Email Verification,2024-01-11 11:00:00,3
user_0010,Landing Page Visit,2024-01-17 08:00:00,1
user_0010,Sign Up Form,2024-01-17 09:00:00,2
user_0010,Email Verification,2024-01-17 11:00:00,3
user_0010,Profile Setup,2024-01-17 14:00:00,4
user_0010,Tutorial Start,2024-01-17 19:00:00,5
user_0011,Landing Page Visit,2024-01-24 08:00:00,1
user_0011,Sign Up Form,2024-01-24 09:00:00,2
user_0012,Landing Page Visit,2024-01-31 08:00:00,1
user_0012,Sign Up Form,2024-01-31 09:00:00,2
user_0012,Email Verification,2024-01-31 11:00:00,3
user_0012,Profile Setup,2024-01-31 14:00:00,4
user_0013,Landing Page Visit,2024-01-06 08:00:00,1
user_0013,Sign Up Form,2024-01-06 09:00:00,2
user_0013,Email Verification,2024-01-06 11:00:00,3
user_0013,Profile Setup,2024-01-06 14:00:00,4
user_0013,Tutorial Start,2024-01-06 19:00:00,5
user_0013,First Feature Use,2024-01-07 02:00:00,6
user_0014,Landing Page Visit,2024-01-13 08:00:00,1
user_0014,Sign Up Form,2024-01-13 09:00:00,2
user_0015,Landing Page Visit,2024-01-20 08:00:00,1
user_0015,Sign Up Form,2024-01-20 09:00:00,2
user_0015,Email Verification,2024-01-20 11:00:00,3
user_0015,Profile Setup,2024-01-20 14:00:00,4
