user_id,funnel_step,timestamp,step_order
user_0001,Landing Page Visit,2024-01-01 12:00:00,1
user_0001,Sign Up Form,2024-01-01 12:15:00,2
user_0001,Email Verification,2024-01-01 12:35:00,3
user_0001,Profile Setup,2024-01-01 13:15:00,4
user_0001,Tutorial Start,2024-01-01 14:25:00,5
user_0001,First Feature Use,2024-01-01 15:45:00,6
user_0001,Onboarding Complete,2024-01-01 16:30:00,7
user_0002,Landing Page Visit,2024-01-01 14:00:00,1
user_0002,Sign Up Form,2024-01-01 14:20:00,2
user_0002,Email Verification,2024-01-01 14:45:00,3
user_0002,Profile Setup,2024-01-01 15:30:00,4
user_0003,Landing Page Visit,2024-01-01 16:00:00,1
user_0003,Sign Up Form,2024-01-01 16:25:00,2
user_0004,Landing Page Visit,2024-01-01 18:00:00,1
user_0004,Sign Up Form,2024-01-01 18:15:00,2
user_0004,Email Verification,2024-01-01 18:40:00,3
user_0004,Profile Setup,2024-01-01 19:20:00,4
user_0004,Tutorial Start,2024-01-01 20:10:00,5
user_0005,Landing Page Visit,2024-01-02 09:00:00,1
user_0005,Sign Up Form,2024-01-02 09:30:00,2
user_0005,Email Verification,2024-01-02 10:00:00,3
user_0005,Profile Setup,2024-01-02 10:45:00,4
user_0005,Tutorial Start,2024-01-02 11:30:00,5
user_0005,First Feature Use,2024-01-02 12:45:00,6
user_0005,Onboarding Complete,2024-01-02 13:20:00,7
user_0006,Landing Page Visit,2024-01-02 11:00:00,1
user_0006,Sign Up Form,2024-01-02 11:25:00,2
user_0006,Email Verification,2024-01-02 11:50:00,3
user_0007,Landing Page Visit,2024-01-02 13:00:00,1
user_0007,Sign Up Form,2024-01-02 13:15:00,2
user_0008,Landing Page Visit,2024-01-02 15:00:00,1
user_0008,Sign Up Form,2024-01-02 15:20:00,2
user_0008,Email Verification,2024-01-02 15:45:00,3
user_0008,Profile Setup,2024-01-02 16:25:00,4
user_0008,Tutorial Start,2024-01-02 17:15:00,5
user_0008,First Feature Use,2024-01-02 18:30:00,6
user_0009,Landing Page Visit,2024-01-03 08:00:00,1
