user_id,funnel_step,timestamp,feature_name,step_order
user_0001,Feature Discovery,2024-01-15 08:00:00,create_report,1
user_0001,Feature Click,2024-01-16 08:00:00,create_report,2
user_0001,Feature Trial,2024-01-18 08:00:00,create_report,3
user_0001,Feature Regular Use,2024-01-21 08:00:00,create_report,4
user_0001,Feature Mastery,2024-01-26 08:00:00,create_report,5
user_0002,Feature Discovery,2024-01-08 08:00:00,create_report,1
user_0002,Feature Click,2024-01-09 08:00:00,create_report,2
user_0002,Feature Trial,2024-01-11 08:00:00,create_report,3
user_0002,Feature Regular Use,2024-01-14 08:00:00,create_report,4
user_0003,Feature Discovery,2024-01-22 08:00:00,create_report,1
user_0003,Feature Click,2024-01-23 08:00:00,create_report,2
user_0003,Feature Trial,2024-01-25 08:00:00,create_report,3
user_0004,Feature Discovery,2024-01-12 08:00:00,create_report,1
user_0004,Feature Click,2024-01-13 08:00:00,create_report,2
user_0005,Feature Discovery,2024-01-28 08:00:00,create_report,1
user_0005,Feature Click,2024-01-29 08:00:00,create_report,2
user_0005,Feature Trial,2024-01-31 08:00:00,create_report,3
user_0005,Feature Regular Use,2024-02-03 08:00:00,create_report,4
user_0005,Feature Mastery,2024-02-08 08:00:00,create_report,5
user_0005,Feature Advocacy,2024-02-15 08:00:00,create_report,6
user_0006,Feature Discovery,2024-01-19 08:00:00,create_report,1
user_0006,Feature Click,2024-01-20 08:00:00,create_report,2
user_0006,Feature Trial,2024-01-22 08:00:00,create_report,3
user_0007,Feature Discovery,2024-01-05 08:00:00,create_report,1
user_0007,Feature Click,2024-01-06 08:00:00,create_report,2
user_0008,Feature Discovery,2024-01-26 08:00:00,create_report,1
user_0008,Feature Click,2024-01-27 08:00:00,create_report,2
user_0008,Feature Trial,2024-01-29 08:00:00,create_report,3
user_0008,Feature Regular Use,2024-02-01 08:00:00,create_report,4
user_0009,Feature Discovery,2024-01-16 08:00:00,create_report,1
user_0009,Feature Click,2024-01-17 08:00:00,create_report,2
user_0009,Feature Trial,2024-01-19 08:00:00,create_report,3
user_0010,Feature Discovery,2024-01-03 08:00:00,create_report,1
user_0010,Feature Click,2024-01-04 08:00:00,create_report,2
user_0010,Feature Trial,2024-01-06 08:00:00,create_report,3
user_0010,Feature Regular Use,2024-01-09 08:00:00,create_report,4
user_0010,Feature Mastery,2024-01-14 08:00:00,create_report,5
user_0011,Feature Discovery,2024-01-24 08:00:00,create_report,1
user_0011,Feature Click,2024-01-25 08:00:00,create_report,2
user_0012,Feature Discovery,2024-01-13 08:00:00,create_report,1
user_0012,Feature Click,2024-01-14 08:00:00,create_report,2
user_0012,Feature Trial,2024-01-16 08:00:00,create_report,3
user_0013,Feature Discovery,2024-01-30 08:00:00,create_report,1
user_0013,Feature Click,2024-01-31 08:00:00,create_report,2
user_0013,Feature Trial,2024-02-02 08:00:00,create_report,3
user_0013,Feature Regular Use,2024-02-05 08:00:00,create_report,4
user_0014,Feature Discovery,2024-01-20 08:00:00,create_report,1
user_0014,Feature Click,2024-01-21 08:00:00,create_report,2
user_0014,Feature Trial,2024-01-23 08:00:00,create_report,3
user_0015,Feature Discovery,2024-01-07 08:00:00,create_report,1
user_0015,Feature Click,2024-01-08 08:00:00,create_report,2
user_0016,Feature Discovery,2024-01-27 08:00:00,create_report,1
user_0016,Feature Click,2024-01-28 08:00:00,create_report,2
user_0016,Feature Trial,2024-01-30 08:00:00,create_report,3
user_0016,Feature Regular Use,2024-02-02 08:00:00,create_report,4
user_0016,Feature Mastery,2024-02-07 08:00:00,create_report,5
user_0016,Feature Advocacy,2024-02-14 08:00:00,create_report,6
user_0017,Feature Discovery,2024-01-17 08:00:00,create_report,1
user_0017,Feature Click,2024-01-18 08:00:00,create_report,2
user_0017,Feature Trial,2024-01-20 08:00:00,create_report,3
user_0018,Feature Discovery,2024-01-04 08:00:00,create_report,1
user_0018,Feature Click,2024-01-05 08:00:00,create_report,2
user_0019,Feature Discovery,2024-01-25 08:00:00,create_report,1
user_0019,Feature Click,2024-01-26 08:00:00,create_report,2
user_0019,Feature Trial,2024-01-28 08:00:00,create_report,3
user_0019,Feature Regular Use,2024-01-31 08:00:00,create_report,4
